"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Kits Configuration Installer";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"10.1.16299.91";;;;"1"
"Kits Configuration Installer";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"8.100.25984";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASCASMT05.FNBM.CORP";"Microsoft Corporation";"20160212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASCASMT05.FNBM.CORP";"Microsoft Corporation";"20160212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASCASMT05.FNBM.CORP";"Microsoft Corporation";"20180324";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASCASMT05.FNBM.CORP";"Microsoft Corporation";"20180324";"12.0.21005";;;;"1"
"SDK Debuggers";"LASCASMT05.FNBM.CORP";"Microsoft Corporation";"20180120";"10.1.16299.91";;;;"1"
"SolarWinds Client Components";"LASCASMT05.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Toolkit Documentation";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"8.100.26866";;;;"1"
"Windows Deployment Customizations";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"8.100.25984";;;;"1"
"Windows Deployment Tools";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"8.100.26866";;;;"1"
"Windows SDK EULA";"LASCASMT05.FNBM.CORP";"Microsoft Corporations";"20180120";"10.1.16299.91";;;;"1"
"Windows System Image Manager on amd64";"LASCASMT05.FNBM.CORP";"Microsoft";"20180120";"8.100.26866";;;;"1"
