"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PHXWEB07.PHX.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Commvault ContentStore";"PHXWEB07.PHX.FNBM.CORP";"Commvault";;"11.80.110.0";;;;
"IIS URL Rewrite Module 2";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20151009";"7.2.2";;;;
"Microsoft Application Request Routing Version 2 for IIS 7";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170810";"2.0.0652";;;;
"Microsoft External Cache Version 1 for IIS 7";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170810";"1.1.0490";;;;
"Microsoft Silverlight";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170425";"10.51.2500.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150319";"8.0.50727.42";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150320";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150319";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150317";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150317";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150320";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170223";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";;"14.11.25325.0";;;;
"Microsoft Web Deploy 3.5";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150319";"3.1237.1764";;;;
"Microsoft Web Farm Framework Version 1 for IIS 7";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20170810";"1.1.0490";;;;
"Microsoft Web Platform Installer 5.0";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150319";"5.0.50430.0";;;;
"Microsoft WSE 3.0";"PHXWEB07.PHX.FNBM.CORP";"Microsoft Corporation";"20150319";"3.0.5305.0";;;;
"Software Developer's Kit";"PHXWEB07.PHX.FNBM.CORP";"Sybase, Inc.";"Thu Mar 19 12:43:20 PDT 2015";"15.7.0.127000";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXWEB07.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXWEB07.PHX.FNBM.CORP";"Symantec Corporation";"20180201";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXWEB07.PHX.FNBM.CORP";"VMware, Inc.";"20151009";"9.4.11.2400950";;;;
