"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASCADD01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"CorrectAddress";"LASCADD01.FNBM.CORP";"Intelligent Search Technology";"20180728";"9.0";;;;
"Microsoft Silverlight";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151202";"8.0.56336";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"8.0.61000";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20150608";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"LASCADD01.FNBM.CORP";"Microsoft Corporation";"20151209";"10.0.40219";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCADD01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCADD01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCADD01.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
