"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP ProLiant Agentless Management Service";"PHXFDR01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20160303";"10.20.0.0";;;;"1"
"HP ProLiant Health Monitor Service (X64)";"PHXFDR01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20160303";"3.20.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"PHXFDR01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20160303";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"PHXFDR01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20160303";"3.10.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"PHXFDR01.PHX.FNBM.CORP";"Hewlett-Packard Company";"20160303";"3.9.0.0";;;;"1"
"MergeModule2012";"PHXFDR01.PHX.FNBM.CORP";"Microsoft";"20160303";"1.0.0";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20170222";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20170222";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"PHXFDR01.PHX.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"PHXFDR01.PHX.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Veritas DMP DSM Solution 6.1";"PHXFDR01.PHX.FNBM.CORP";"Symantec Corporation";"20160311";"6.1.00000.445";;;;"1"
"Veritas InfoScale Operations Manager (Host Component)";"PHXFDR01.PHX.FNBM.CORP";"Veritas Technologies LLC";"20180726";"7.3.1.0";;;;"1"
"Veritas Storage Foundation 6.1 for Windows";"PHXFDR01.PHX.FNBM.CORP";"Symantec Corporation";"20160311";"6.1.00000.445";;;;"1"
"VRTSPerl";"PHXFDR01.PHX.FNBM.CORP";"Symantec";"20160311";"6.1.00000";;;;"1"
"vrtsvcs";"PHXFDR01.PHX.FNBM.CORP";"Symantec";"20160311";"6.1.00000";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"PHXFDR01.PHX.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"PHXFDR01.PHX.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
