"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASCOLL01.FNBM.CORP";"AppDynamics";"20180711";"4.4.4.0";;;;
"BMC Track-It! 11.3 Agent";"LASCOLL01.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM WebSphere MQ (fix pack 7.5.0.4 files)";"LASCOLL01.FNBM.CORP";"IBM";"Wed Aug 05 22:20:06 PDT 2015";"7.5.0.4";;;;
"IBM WebSphere MQ (Installation1)";"LASCOLL01.FNBM.CORP";"IBM";"20140307";"7.5.0.1";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCOLL01.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140807";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140312";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140807";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140306";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140306";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140307";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20160917";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20170826";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft WSE 3.0";"LASCOLL01.FNBM.CORP";"Microsoft Corporation";"20140312";"3.0.5305.0";;;;
"NCache";"LASCOLL01.FNBM.CORP";"Alachisoft";"20170826";"4.6.0.0";;;;
"Netwitness SFTP Agent";"LASCOLL01.FNBM.CORP";"RSA Security Inc";"20171216";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCOLL01.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCOLL01.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCOLL01.FNBM.CORP";"VMware, Inc.";"20180222";"10.1.7.5541682";;;;
