"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"ATI Display Driver";"LASAUTH01.CREDITONEAPP.BIZ";;;"8.24.50.5-090623a-083726C-HP";;;;
"Commvault ContentStore";"LASAUTH01.CREDITONEAPP.BIZ";"Commvault";;"11.80.110.0";;;;
"Headless Server Registry Update";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101009";"1.0.0.0";;;;
"HP Array Configuration Utility";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett Packard Development Company, L.P.";"20101119";"8.60.7.0";;;;
"HP Array Configuration Utility CLI";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20101119";"8.60.8.0";;;;
"HP Insight Diagnostics  Online Edition for Windows";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20101009";"8.5.0";;;;
"HP Insight Management Agents";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20131214";"9.40.0.0";;;;
"HP Insight Management WBEM Providers for Windows Server 2003/2008 x64 Editions";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";;"2.6.1.0";;;;
"HP Lights-Out Online Configuration Utility";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20101009";"3.1.0.0";;;;
"HP ProLiant iLO 3 Management Controller Package";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";;"3.0.0.0";;;;
"HP ProLiant Integrated Management Log Viewer";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101009";"5.24.0.0";;;;
"HP ProLiant PCI-express Power Management Update for Windows";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101009";"1.3.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20101009";"6.20.0.64";;;;
"HP System Management Homepage";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Development Company, L.P.";"20140710";"7.3.3";;;;
"HP Version Control Agent";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett Packard Development Company, L.P.";"20140710";"7.3.3.0";;;;
"Microsoft .NET Framework 4.5.2";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"4.5.51209";;;;
"Microsoft Baseline Security Analyzer 2.2";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20101119";"2.2.2170";;;;
"Microsoft Silverlight";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170520";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 ATL Update kb973923 - x86 8.0.50727.4053";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110219";"8.0.50727.4053";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110625";"8.0.61001";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20111027";"8.0.59193";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20101009";"8.0.59192";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110625";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20101009";"8.0.50727.42";;;;
"Microsoft Visual C++ 2005 Redistributable (x64) - KB2467175";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110521";"8.0.51011";;;;
"Microsoft Visual C++ 2008 Redistributable - KB2467174 - x64 9.0.30729.5570";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110521";"9.0.30729.5570";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110421";"9.0.21022";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20101009";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20110625";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170429";"10.0.40219";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASAUTH01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"14.11.25325.0";;;;
"Notepad++ (32-bit x86)";"LASAUTH01.CREDITONEAPP.BIZ";"Notepad++ Team";;"7.5.6";;;;
"Numara Track-It! 9 Agent";"LASAUTH01.CREDITONEAPP.BIZ";"Numara Software";;"9.0";;;;
"PFA Server Registry Update";"LASAUTH01.CREDITONEAPP.BIZ";"Hewlett-Packard Company";"20101009";"1.0.0.0";;;;
"SolarWinds Agent 2.0.70.0";"LASAUTH01.CREDITONEAPP.BIZ";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASAUTH01.CREDITONEAPP.BIZ";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASAUTH01.CREDITONEAPP.BIZ";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
