"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HPE ProLiant Agentless Management Service";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"10.60.0.0";;;;"1"
"iLO 3/4 Channel Interface Driver (X64)";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"3.30.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"3.30.0.0";;;;"1"
"MergeModule2012";"LASMQCIM.FNBM.CORP";"Microsoft";"20170824";"1.0.0";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"ProLiant Monitor Service (X64)";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"3.30.0.0";;;;"1"
"SolarWinds Client Components";"LASMQCIM.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
