"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASFDR04.FNBM.CORP";"Hewlett-Packard Company";"20171030";"3.0.0.0";;;;"1"
"HPE ProLiant Agentless Management Service";"LASFDR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171030";"10.60.0.0";;;;"1"
"iLO 3/4 Channel Interface Driver (X64)";"LASFDR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171030";"3.30.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASFDR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171030";"3.30.0.0";;;;"1"
"MergeModule2012";"LASFDR04.FNBM.CORP";"Microsoft";"20171030";"1.0.0";;;;"1"
"Microsoft .NET Framework 4.7";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20171216";"4.7.02053";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20171106";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20171106";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASFDR04.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"ProLiant Monitor Service (X64)";"LASFDR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171030";"3.30.0.0";;;;"1"
"SolarWinds Client Components";"LASFDR04.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASFDR04.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASFDR04.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
