"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASCHAT04.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IIS URL Rewrite Module 2";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20171009";"7.2.1980";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCHAT04.FNBM.CORP";;;;;;;
"Microsoft Application Request Routing 3.0";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20171009";"3.0.1952";;;;
"Microsoft External Cache";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20171009";"1.1.1949";;;;
"Microsoft Silverlight";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20170724";"5.1.50907.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20171009";"10.50.1600.1";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20170713";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20170713";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20170724";"9.0.30729.6161";;;;
"Microsoft Web Platform Installer 5.0";"LASCHAT04.FNBM.CORP";"Microsoft Corporation";"20171009";"5.0.50430.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCHAT04.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCHAT04.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCHAT04.FNBM.CORP";"VMware, Inc.";"20171021";"10.1.7.5541682";;;;
"WhosOn Installable 2016 v1";"LASCHAT04.FNBM.CORP";"Parker Software";;"2016.1.35";;;;
