"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Commvault ContentStore";"PHXMCE02.PHX.FNBM.CORP";"Commvault";;"11.80.70.0";;;;
"Microsoft Silverlight";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";"20151201";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";"20160107";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";"20170516";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"PHXMCE02.PHX.FNBM.CORP";"Microsoft Corporation";;"12.0.21005.1";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXMCE02.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXMCE02.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXMCE02.PHX.FNBM.CORP";"VMware, Inc.";"20170503";"10.0.6.3560309";;;;
