"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASMT02.FNBM.CORP";"AppDynamics";"20180711";"4.4.4.0";;;;
"BMC Track-It! 11.3 Agent";"LASMT02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM WebSphere MQ (fix pack 7.5.0.4 files)";"LASMT02.FNBM.CORP";"IBM";"Wed May 27 10:13:34 PDT 2015";"7.5.0.4";;;;
"IBM WebSphere MQ (Installation1)";"LASMT02.FNBM.CORP";"IBM";"20150406";"7.5.0.1";;;;
"IIS URL Rewrite Module 2";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"7.2.1952";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASMT02.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150425";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150406";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150406";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20170826";"10.0.30319";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASMT02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Web Deploy 3.5";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASMT02.FNBM.CORP";"Microsoft Corporation";"20151116";"5.0.50430.0";;;;
"NCache";"LASMT02.FNBM.CORP";"Alachisoft";"20170826";"4.6.0.0";;;;
"Netwitness SFTP Agent";"LASMT02.FNBM.CORP";"RSA Security Inc";"20180324";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASMT02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASMT02.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASMT02.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
"Windows Software Development Kit for Windows 8.1";"LASMT02.FNBM.CORP";"Microsoft Corporation";;"8.100.26936";;;;
