"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"PHXMT02.PHX.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"IBM WebSphere MQ (fix pack 7.5.0.4 files)";"PHXMT02.PHX.FNBM.CORP";"IBM";"Wed May 27 10:13:34 PDT 2015";"7.5.0.4";;;;
"IBM WebSphere MQ (Installation1)";"PHXMT02.PHX.FNBM.CORP";"IBM";"20150406";"7.5.0.1";;;;
"IIS URL Rewrite Module 2";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"7.2.1952";;;;
"Microsoft Silverlight";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170420";"5.1.50906.0";;;;
"Microsoft SQL Server 2008 R2 Management Objects";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Management Objects (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"10.51.2500.0";;;;
"Microsoft SQL Server 2008 R2 Native Client";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"10.51.2500.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Native Client ";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"11.0.2100.60";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.0.2100.60";;;;
"Microsoft SQL Server System CLR Types";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"10.51.2500.0";;;;
"Microsoft SQL Server System CLR Types (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"10.51.2500.0";;;;
"Microsoft System CLR Types for SQL Server 2012";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150425";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150406";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150406";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170825";"10.0.30319";;;;
"Microsoft Web Deploy 2.0";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170502";"2.0.1070";;;;
"Microsoft Web Deploy 3.5";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20170503";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"PHXMT02.PHX.FNBM.CORP";"Microsoft Corporation";"20151119";"5.0.50430.0";;;;
"NCache";"PHXMT02.PHX.FNBM.CORP";"Alachisoft";"20170825";"4.6.0.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"PHXMT02.PHX.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"PHXMT02.PHX.FNBM.CORP";"Symantec Corporation";"20180121";"14.0.3876.1100";;;;"0"
"VMware Tools";"PHXMT02.PHX.FNBM.CORP";"VMware, Inc.";"20170502";"10.0.6.3560309";;;;
