"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20140320";"9.5.0.0";;;;"1"
"HP ProLiant Agentless Management Service";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"9.50.0.0";;;;"1"
"HP ProLiant Health Monitor Service (X64)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140124";"3.9.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140124";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140320";"3.10.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"LASSASMT01.FNBM.CORP";"Hewlett-Packard Company";"20140124";"3.9.0.0";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140320";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20140320";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20170921";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20170921";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20170921";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20170921";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASSASMT01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"psqlODBC_x64";"LASSASMT01.FNBM.CORP";"PostgreSQL Global Development Group";"20170921";"09.03.0400";;;;"1"
"SAS Studio 3.1 Single-User Edition (64-bit)";"LASSASMT01.FNBM.CORP";"SAS Institute, Inc.";"20140331";"3.1.3667.0";;;;"1"
"SAS Studio 3.6 Single-User Edition ";"LASSASMT01.FNBM.CORP";"SAS Institute, Inc.";"20170921";"3.6.948.0";;;;"1"
"SolarWinds Client Components";"LASSASMT01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Veritas DMP DSM Solution 7.2";"LASSASMT01.FNBM.CORP";"Veritas Technologies LLC";"20180728";"7.3.10000.24";;;;"1"
"Veritas InfoScale Operations Manager (Host Component)";"LASSASMT01.FNBM.CORP";"Veritas Technologies LLC";"20180711";"7.3.400.1";;;;"1"
"Visual C++ 2012 RTM Runtime Library DLLs (x64/release)";"LASSASMT01.FNBM.CORP";"Microsoft";"20140320";"11.0.50727.1";;;;"1"
"Volume Manager for Windows";"LASSASMT01.FNBM.CORP";"Veritas Technologies LLC";"20180728";"7.3.10000.24";;;;"1"
"VRTSPerl";"LASSASMT01.FNBM.CORP";"Veritas Technologies LLC";"20180728";"7.3.10000";;;;"1"
"vrtsvcs";"LASSASMT01.FNBM.CORP";"Veritas Technologies LLC";"20180728";"7.3.10000";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASSASMT01.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASSASMT01.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
