"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"3.11.50727";;;;"1"
".NET Core SDK 1.1.5 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"4.17.21581";;;;"1"
".NET Core SDK 1.1.7 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.17.54377";;;;"1"
"Application Verifier x64 External Package";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"10.1.16299.15";;;;"1"
"Application Verifier x64 External Package";"LASVSTST01.FNBM.CORP";"Microsoft";"20180212";"10.1.15063.468";;;;"1"
"Application Verifier x64 External Package";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"10.1.15063.674";;;;"1"
"Blend for Visual Studio SDK for .NET 4.5";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"3.0.40218.0";;;;"1"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02558";;;;"1"
"Cocos Creator";"LASVSTST01.FNBM.CORP";"Chukong Technologies";"20180308";"1.5.2.0";;;;"1"
"DiagnosticsHub_CollectionService";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.6.27309";;;;"1"
"Entity Framework 6.1.3 Tools  for Visual Studio 15";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"6.1.60104.0";;;;"1"
"Epic Games Launcher Prerequisites (x64)";"LASVSTST01.FNBM.CORP";"Epic Games, Inc.";"20180302";"1.0.0.0";;;;"1"
"Herramientas de corrección de Microsoft Office 2016: español";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"icecap_collection_neutral";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.6.27413";;;;"1"
"icecap_collection_x64";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.6.27413";;;;"1"
"icecap_collectionresources";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.6.27406";;;;"1"
"icecap_collectionresourcesx64";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.6.27406";;;;"1"
"IIS Express Application Compatibility Database for x64";"LASVSTST01.FNBM.CORP";;;;;;;"1"
"IIS Express Application Compatibility Database for x86";"LASVSTST01.FNBM.CORP";;;;;;;"1"
"Intellisense Lang Pack Mobile Extension SDK 10.0.15063.0";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"10.1.15063.674";;;;"1"
"IntelliTraceProfilerProxy";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.0.17289.01";;;;"1"
"IntelliTraceProfilerProxy";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.0.17289.01";;;;"1"
"Kits Configuration Installer";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"10.0.26624";;;;"1"
"Launcher Prerequisites (x64)";"LASVSTST01.FNBM.CORP";"Epic Games, Inc.";;"1.0.0.0";;;;"1"
"Microsoft .NET Core 1.0.8 - Runtime (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"1.0.8";;;;"1"
"Microsoft .NET Core 1.0.9 - Host (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.0.21402";;;;"1"
"Microsoft .NET Core 1.0.9 - Host FX Resolver (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.1.21402";;;;"1"
"Microsoft .NET Core 1.0.9 - Runtime (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.0.9";;;;"1"
"Microsoft .NET Core 1.1.5 - Runtime (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"1.1.5";;;;"1"
"Microsoft .NET Core 1.1.6 - Host (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.16.1663";;;;"1"
"Microsoft .NET Core 1.1.6 - Host FX Resolver (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.16.34431";;;;"1"
"Microsoft .NET Core 1.1.6 - Runtime (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.1.6";;;;"1"
"Microsoft .NET Core Host - 2.0.3 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"16.12.25816";;;;"1"
"Microsoft .NET Core Host - 2.0.5 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"16.20.26021";;;;"1"
"Microsoft .NET Core Host FX Resolver - 2.0.3 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"16.12.25816";;;;"1"
"Microsoft .NET Core Host FX Resolver - 2.0.5 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"16.20.26021";;;;"1"
"Microsoft .NET Core Runtime - 2.0.3 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"16.12.25816";;;;"1"
"Microsoft .NET Core Runtime - 2.0.5 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"16.20.26021";;;;"1"
"Microsoft .NET Core SDK - 2.0.3 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"8.0.56242";;;;"1"
"Microsoft .NET Core SDK - 2.1.100 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"8.25.7391";;;;"1"
"Microsoft .NET Core SDK - 2.1.4 (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"8.17.7260";;;;"1"
"Microsoft .NET CoreRuntime For CoreCon";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.0.0.0";;;;"1"
"Microsoft .NET CoreRuntime SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"1.1.25915.0";;;;"1"
"Microsoft .NET Framework 3.5 Targeting Pack (enu)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"3.5.27128";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.0.30319";;;;"1"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.5.50710";;;;"1"
"Microsoft .NET Framework 4.5.1 Multi-Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.5.50932";;;;"1"
"Microsoft .NET Framework 4.5.2 Multi-Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.5.51651";;;;"1"
"Microsoft .NET Framework 4.6 Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.6.00081";;;;"1"
"Microsoft .NET Framework 4.6.1 SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.6.01055";;;;"1"
"Microsoft .NET Framework 4.6.1 Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.6.01055";;;;"1"
"Microsoft .NET Framework 4.7 SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02046";;;;"1"
"Microsoft .NET Framework 4.7 Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02046";;;;"1"
"Microsoft .NET Framework 4.7 Targeting Pack (ENU)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02046";;;;"1"
"Microsoft .NET Framework 4.7.1 Doc Redirected Targeting Pack (ENU)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02558";;;;"1"
"Microsoft .NET Framework 4.7.1 SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02558";;;;"1"
"Microsoft .NET Framework 4.7.1 Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02558";;;;"1"
"Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.7.02558";;;;"1"
"Microsoft .NET Native SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.24211";;;;"1"
"Microsoft Access MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Access Setup Metadata MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.1000.397";;;;"1"
"Microsoft ASP.NET Core 1.0 Local Feed - Visual Studio 2017";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.12317.0";;;;"1"
"Microsoft ASP.NET Core 1.1 Local Feed - Visual Studio 2017";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.12317.0";;;;"1"
"Microsoft ASP.NET Core 2.0.5 Runtime Package Store (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"2.0.12421.0";;;;"1"
"Microsoft ASP.NET Core Module for IIS Express";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"1.0.1985";;;;"1"
"Microsoft ASP.NET Diagnostic Pack for Visual Studio";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.0.40214.0";;;;"1"
"Microsoft ASP.NET Packages for MVC 4 - ENU";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.0.21208.0";;;;"1"
"Microsoft ASP.NET Web Tools Packages 15.0 - ENU";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"1.0.21214.0";;;;"1"
"Microsoft Azure Compute Emulator - v2.9.5.3";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"2.9.8699.20";;;;"1"
"Microsoft Azure Storage Emulator - v5.4";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"5.4.1811.0037";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft DCF MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Excel MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Exchange Web Services Managed API 2.1";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.847.30";;;;"1"
"Microsoft Expression Blend SDK for .NET 4";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"2.0.20525.0";;;;"1"
"Microsoft Groove MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Help Viewer 2.2";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"2.2.23107";;;;"1"
"Microsoft Help Viewer 2.3";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"2.3.27309";;;;"1"
"Microsoft HTML Help Workshop Package";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"4.74.8702";;;;"1"
"Microsoft InfoPath MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft NetStandard SDK";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.51105";;;;"1"
"Microsoft Office 32-bit Components 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office OSM MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office OSM UX MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Professional Plus 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Proofing (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Proofing Tools 2016 - English";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Shared 32-bit MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Shared MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Office Shared Setup Metadata MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft OneNote MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Outlook MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.26621.02";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"15.0.26621.02";;;;"1"
"Microsoft PowerPoint MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Publisher MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Skype for Business MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft SQL Server 2012 Analysis Management Objects ";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180214";"11.4.7001.0";;;;"1"
"Microsoft SQL Server 2012 Command Line Utilities ";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"11.3.6020.0";;;;"1"
"Microsoft SQL Server 2014 Analysis Management Objects ";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180214";"12.2.5556.0";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASVSTST01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 Analysis Management Objects ";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180214";"13.1.4451.0";;;;"1"
"Microsoft SQL Server 2017";"LASVSTST01.FNBM.CORP";;;;;;;"1"
"Microsoft TestPlatform SDK Local Feed";"LASVSTST01.FNBM.CORP";"Microsoft";"20180312";"15.6.0.1398059";;;;"1"
"Microsoft UniversalWindowsPlatform SDK";"LASVSTST01.FNBM.CORP";"Microsoft";"20180312";"15.6.2";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Debug Runtime - 14.13.26020";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"14.13.26020";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x86 Additional Runtime - 14.12.25810";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.12.25810";;;;"1"
"Microsoft Visual C++ 2017 x86 Debug Runtime - 14.13.26020";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"14.13.26020";;;;"1"
"Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.12.25810";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"14.12.25810";;;;"1"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"10.0.50908";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2017 Tools for Unity";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"3.6.0.4";;;;"1"
"Microsoft Visual Studio 2017 Tools for Unity";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180212";"3.4.0.2";;;;"1"
"Microsoft Visual Studio Services Hub";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Setup Configuration";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"1.15.3213.55575";;;;"1"
"Microsoft Visual Studio Team Foundation Server 2017 RC Office Integration (x64)";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.129.27421";;;;"1"
"Microsoft Visual Studio Team Foundation Server 2017 RC Office Integration Language Pack (x64) - ENU";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180312";"15.129.27421";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180214";"15.0.26717";;;;"1"
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180214";"15.0.26717";;;;"1"
"Microsoft Windows Communication Foundation Diagnostic Pack for x86";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"15.0.27005";;;;"1"
"Microsoft Word MUI (English) 2016";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Microsoft Workflow Debugger v1.0 for amd64";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"15.0.27005";;;;"1"
"Microsoft Workflow Debugger v1.0 for x86";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"15.0.27005";;;;"1"
"Microsoft Workflow Diagnostic Pack for x64";"LASVSTST01.FNBM.CORP";"Microsoft";"20180213";"15.0.27005";;;;"1"
"MSI Development Tools";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"10.1.16299.15";;;;"1"
"MSI Development Tools";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"10.1.15063.674";;;;"1"
"Open XML SDK 2.5 for Microsoft Office";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180213";"2.5.5631";;;;"1"
"Outils de vérification linguistique 2016 de Microsoft Office - Français";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180417";"16.0.4266.1001";;;;"1"
"Pragmatic Workbench";"LASVSTST01.FNBM.CORP";"Pragmatic Works";"20180302";"18.1.4";;;;"1"
"Python 3.6.3 Core Interpreter (32-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Core Interpreter (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Core Interpreter (64-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Core Interpreter (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Development Libraries (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Development Libraries (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Documentation (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Documentation (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Executables (32-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Executables (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Executables (64-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Executables (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 pip Bootstrap (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 pip Bootstrap (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Standard Library (32-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Standard Library (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Standard Library (64-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Standard Library (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Tcl/Tk Support (32-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Tcl/Tk Support (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Tcl/Tk Support (64-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Tcl/Tk Support (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Test Suite (32-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Test Suite (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Test Suite (64-bit symbols)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Test Suite (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Utility Scripts (32-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Python 3.6.3 Utility Scripts (64-bit)";"LASVSTST01.FNBM.CORP";"Python Software Foundation";"20180213";"3.6.3150.0";;;;"1"
"Roslyn Language Services - x86";"LASVSTST01.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
