"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"7-Zip 9.38";"LASPROCAPP01.CREDITONEAPP.BIZ";"Igor Pavlov";"20180130";"9.38.00.0";;;;
"Commvault ContentStore";"LASPROCAPP01.CREDITONEAPP.BIZ";"Commvault";;"11.80.110.0";;;;
"GNU Privacy Guard";"LASPROCAPP01.CREDITONEAPP.BIZ";"Free Software Foundation";;"1.4.10";;;;
"Microsoft Silverlight";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft Visual C++ 2005 Redistributable";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160819";"8.0.61001";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160818";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160819";"9.0.30729";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160818";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20161119";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170429";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"12.0.21005.1";;;;
"Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325";"LASPROCAPP01.CREDITONEAPP.BIZ";"Microsoft Corporation";;"14.11.25325.0";;;;
"Process360";"LASPROCAPP01.CREDITONEAPP.BIZ";"Open Text, Inc.";"20160819";"10.4.2.1732";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASPROCAPP01.CREDITONEAPP.BIZ";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASPROCAPP01.CREDITONEAPP.BIZ";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASPROCAPP01.CREDITONEAPP.BIZ";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
