"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Infognition ScreenPressor v2.1 (Remove Only)";"LASDMZCHAT03.FNBM.CORP";;;;;;;
"Microsoft Silverlight";"LASDMZCHAT03.FNBM.CORP";"Microsoft Corporation";"20170710";"5.1.50907.0";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASDMZCHAT03.FNBM.CORP";"Microsoft Corporation";"20170710";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASDMZCHAT03.FNBM.CORP";"Microsoft Corporation";"20170710";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASDMZCHAT03.FNBM.CORP";"Microsoft Corporation";"20170710";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASDMZCHAT03.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Netwitness SFTP Agent";"LASDMZCHAT03.FNBM.CORP";"RSA Security Inc";"20180322";"4.1.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASDMZCHAT03.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASDMZCHAT03.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASDMZCHAT03.FNBM.CORP";"VMware, Inc.";"20180120";"10.1.7.5541682";;;;
