"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"BMC Track-It! 11.3 Agent";"LASMQCIM.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"HP Lights-Out Online Configuration Utility";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"4.8.0.0";;;;
"HP Smart Array SAS/SATA Event Notification Service";"LASMQCIM.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20170824";"6.46.0.64";;;;
"HP Smart Update Tools for Windows";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"1.6.5.0";;;;
"HPE ProLiant Agentless Management Service";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";;"10.60.0.0";;;;
"HPE System Management Homepage";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"7.6.0";;;;
"IBM WebSphere MQ (fix pack 8.0.0.4 files)";"LASMQCIM.FNBM.CORP";"IBM";"Fri Jul 21 13:21:36 PDT 2017";"8.0.0.4";;;;
"IBM WebSphere MQ (Installation1)";"LASMQCIM.FNBM.CORP";"IBM";"20170721";"8.0.0.0";;;;
"iLO 3/4 Channel Interface Driver";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"iLO 3/4 Management Controller Driver Package";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";;"3.30.0.0";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASMQCIM.FNBM.CORP";;;;;;;
"Insight Diagnostics";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"10.60.2116";;;;
"Integrated Management Log Viewer";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise";"20170824";"7.8.0.0";;;;
"Matrox Graphics Software (remove only)";"LASMQCIM.FNBM.CORP";"Matrox Graphics Inc.";;"4.3.1.5";;;;
"Microsoft Silverlight";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";"20170729";"5.1.50907.0";;;;
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";;"11.0.61030.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASMQCIM.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"PFA Server Registry Update";"LASMQCIM.FNBM.CORP";"Hewlett-Packard Company";"20170824";"1.0.0.0";;;;
"Smart Storage Administrator";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"2.65.7.0";;;;
"Smart Storage Administrator CLI";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"2.65.7.0";;;;
"Smart Storage Administrator Diagnostics and SmartSSD Wear Gauge Utility";"LASMQCIM.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170824";"2.65.7.0";;;;
"SolarWinds Agent 2.0.70.0";"LASMQCIM.FNBM.CORP";"SolarWinds Worldwide, LLC.";"20180604";"2.0.70.0";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASMQCIM.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASMQCIM.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
