"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"AppDynamics .NET Agent";"LASCAS02.FNBM.CORP";"AppDynamics";"20180711";"4.4.4.0";;;;
"BMC Track-It! 11.3 Agent";"LASCAS02.FNBM.CORP";"BMC Software";;"11.3.0.355";;;;
"Infognition ScreenPressor v2.1 (Remove Only)";"LASCAS02.FNBM.CORP";;;;;;;
"Microsoft Access database engine 2010 (English)";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;
"Microsoft Report Viewer 2012 Runtime";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150414";"11.1.3452.0";;;;
"Microsoft Silverlight";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20170429";"5.1.50906.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Data-Tier App Framework ";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.1.2807.0";;;;
"Microsoft SQL Server 2012 Management Objects ";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Management Objects  (x64)";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.1.3000.0";;;;
"Microsoft SQL Server 2012 Transact-SQL ScriptDom ";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.0.2100.60";;;;
"Microsoft System CLR Types for SQL Server 2012";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"11.1.3000.0";;;;
"Microsoft System CLR Types for SQL Server 2012 (x64)";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150414";"11.1.3000.0";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150425";"8.0.61000";;;;
"Microsoft Visual C++ 2005 Redistributable (x64)";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150410";"8.0.56336";;;;
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150401";"9.0.30729.4148";;;;
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150425";"9.0.30729.6161";;;;
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20150425";"10.0.40219";;;;
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"LASCAS02.FNBM.CORP";"Microsoft Corporation";;"12.0.30501.0";;;;
"Microsoft Web Deploy 3.5";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"3.1237.1764";;;;
"Microsoft Web Platform Installer 5.0";"LASCAS02.FNBM.CORP";"Microsoft Corporation";"20151105";"5.0.50430.0";;;;
"Netwitness SFTP Agent";"LASCAS02.FNBM.CORP";"RSA Security Inc";"20180324";"4.1.0";;;;
"Software Developer's Kit";"LASCAS02.FNBM.CORP";"Sybase, Inc.";"Fri Apr 10 16:10:45 PDT 2015";"15.7.0.127000";;;;
"SolarWinds Client Components - x64 (2.1.5.6002)";"LASCAS02.FNBM.CORP";"SolarWinds, Inc.";;"2.1.5.6002";;;;
"Symantec Endpoint Protection";"LASCAS02.FNBM.CORP";"Symantec Corporation";"20180421";"14.0.3876.1100";;;;"0"
"VMware Tools";"LASCAS02.FNBM.CORP";"VMware, Inc.";"20180224";"10.1.7.5541682";;;;
